Deployment Report
Timestamp,20260114_152307
Product,GNR
Source Type,BASELINE_DMR
Deployment Type,DebugFramework
Target,Q:\Gaespino\scripts\s2t\Deploys\DMR\dev\DebugFramework
Total Files Scanned,101
Product Filtered,97
Deployed Successfully,4
Errors,0

DEPLOYED FILES
Source File,Target File,Renamed,Old Name,New Name,Status,Similarity,Import Replacements,Filename Import Updates,Import Change Lines,Rename Change Lines
PPV\Decoder\decoder.py,PPV\Decoder\decoder.py,No,decoder.py,decoder.py,minor_changes,84.4%,-,-,-,-
SerialConnection.py,SerialConnection.py,No,SerialConnection.py,SerialConnection.py,minimal_changes,99.7%,-,-,-,-
PPV\parsers\MCAparser.py,PPV\parsers\MCAparser.py,No,MCAparser.py,MCAparser.py,minimal_changes,99.9%,-,-,-,-
PPV\parsers\PPVLoopsParser.py,PPV\parsers\PPVLoopsParser.py,No,PPVLoopsParser.py,PPVLoopsParser.py,minor_changes,89.0%,-,-,-,-

DETAILED LINE CHANGES
File,Line,Change Type,Old Content,New Content

SKIPPED FILES
File,Reason,Status,Renamed,New Name
PPV\gui\MCADecoder.py,Not selected,identical,No,-
EFI\Filecopy.py,Not selected,identical,No,-
Storage_Handler\DBHandler.py,Not selected,identical,No,-
UI\Sweep.py,Not selected,identical,No,-
PPV\Decoder\GNR\ubox_defs.py,Not selected,identical,No,-
PPV\Decoder\GNR\cms_params.json,Not selected,identical,No,-
TTL\TTL_Boot\MeshContent.ttl,Not selected,identical,No,-
UI\AutomationPanel.py,Not selected,identical,No,-
PPV\Decoder\GNR\cha_params.json,Not selected,identical,No,-
TTL\TTL_DragonMesh\MeshContent.ttl,Not selected,identical,No,-
ExecutionHandler\utils\ThreadsHandler.py,Not selected,identical,No,-
Interfaces\IFramework.py,Not selected,identical,No,-
TTL\TTL_Boot\Commands.ttl,Not selected,identical,No,-
UI\ExperimentsForm.py,Not selected,identical,No,-
ExecutionHandler\Enums.py,Not selected,identical,No,-
UI\ProcessHandler\ProcessManager.py,Not selected,identical,No,-
UI\ProcessHandler\ProcessExecutor.py,Not selected,identical,No,-
PPV\Decoder\GNR\core_params.json,Not selected,identical,No,-
TTL\TTL_Linux\LinuxContent.ttl,Not selected,identical,No,-
UI\StatusHandler.py,Not selected,identical,No,-
PPV\Decoder\GNR\upi_params.json,Not selected,identical,No,-
Storage_Handler\DBClient.py,Not selected,identical,No,-
UI\ProcessPanel.py,Not selected,identical,No,-
HardwareMocks.py,Not selected,new,No,-
TTL\TTL_Linux\Connect.ttl,Not selected,identical,No,-
TestFramework.py,Not selected,new,No,-
TTL\TTL_Linux\Commands.ttl,Not selected,identical,No,-
PPV\Decoder\GNR\log_portid.json,Not selected,identical,No,-
TTL\TTL_DragonSlice\Commands.ttl,Not selected,identical,No,-
TestMocks.py,Not selected,new,No,-
Automation_Flow\AutomationBuilder.py,Not selected,identical,No,-
PPV\utils\DeveloperEnvironment.py,Not selected,identical,No,-
