Deployment Report
Timestamp,20260114_162850
Product,GNR
Source Type,BASELINE
Deployment Type,DebugFramework
Target,Q:\Gaespino\scripts\s2t\Deploys\GNR\dev\DebugFramework
Total Files Scanned,112
Product Filtered,31
Deployed Successfully,81
Errors,0

DEPLOYED FILES
Source File,Target File,Renamed,Old Name,New Name,Status,Similarity,Import Replacements,Filename Import Updates,Import Change Lines,Rename Change Lines
PPV\gui\MCADecoder.py,PPV\gui\MCADecoder.py,No,MCADecoder.py,MCADecoder.py,new,0.0%,-,-,-,-
EFI\Filecopy.py,EFI\Filecopy.py,No,Filecopy.py,Filecopy.py,new,0.0%,-,-,-,-
Storage_Handler\DBHandler.py,Storage_Handler\DBHandler.py,No,DBHandler.py,DBHandler.py,new,0.0%,-,-,-,-
TTL\Boot.ttl,TTL\Boot.ttl,No,Boot.ttl,Boot.ttl,new,0.0%,-,-,-,-
PPV\Decoder\GNR\ubox_defs.py,PPV\Decoder\GNR\ubox_defs.py,No,ubox_defs.py,ubox_defs.py,new,0.0%,-,-,-,-
PPV\Decoder\GNR\cms_params.json,PPV\Decoder\GNR\cms_params.json,No,cms_params.json,cms_params.json,new,0.0%,-,-,-,-
PPV\Decoder\decoder.py,PPV\Decoder\decoder.py,No,decoder.py,decoder.py,new,0.0%,-,-,-,-
UI\AutomationPanel.py,UI\AutomationPanel.py,No,AutomationPanel.py,AutomationPanel.py,new,0.0%,-,-,-,-
PPV\Decoder\GNR\cha_params.json,PPV\Decoder\GNR\cha_params.json,No,cha_params.json,cha_params.json,new,0.0%,-,-,-,-
ExecutionHandler\utils\ThreadsHandler.py,ExecutionHandler\utils\ThreadsHandler.py,No,ThreadsHandler.py,ThreadsHandler.py,new,0.0%,-,-,-,-
Interfaces\IFramework.py,Interfaces\IFramework.py,No,IFramework.py,IFramework.py,new,0.0%,-,-,-,-
TTL\Disconnect.ttl,TTL\Disconnect.ttl,No,Disconnect.ttl,Disconnect.ttl,new,0.0%,-,-,-,-
ExecutionHandler\Enums.py,ExecutionHandler\Enums.py,No,Enums.py,Enums.py,new,0.0%,-,-,-,-
UI\ProcessHandler\ProcessManager.py,UI\ProcessHandler\ProcessManager.py,No,ProcessManager.py,ProcessManager.py,new,0.0%,-,-,-,-
UI\ProcessHandler\ProcessExecutor.py,UI\ProcessHandler\ProcessExecutor.py,No,ProcessExecutor.py,ProcessExecutor.py,new,0.0%,-,-,-,-
PPV\parsers\MCAparser.py,PPV\parsers\MCAparser.py,No,MCAparser.py,MCAparser.py,new,0.0%,-,-,-,-
PPV\Decoder\GNR\core_params.json,PPV\Decoder\GNR\core_params.json,No,core_params.json,core_params.json,new,0.0%,-,-,-,-
TTL\Commands_Linux.ttl,TTL\Commands_Linux.ttl,No,Commands_Linux.ttl,Commands_Linux.ttl,new,0.0%,-,-,-,-
UI\StatusHandler.py,UI\StatusHandler.py,No,StatusHandler.py,StatusHandler.py,new,0.0%,-,-,-,-
PPV\Decoder\GNR\upi_params.json,PPV\Decoder\GNR\upi_params.json,No,upi_params.json,upi_params.json,new,0.0%,-,-,-,-
Storage_Handler\DBClient.py,Storage_Handler\DBClient.py,No,DBClient.py,DBClient.py,new,0.0%,-,-,-,-
UI\ProcessPanel.py,UI\ProcessPanel.py,No,ProcessPanel.py,ProcessPanel.py,new,0.0%,-,-,-,-
TTL\Commands.ttl,TTL\Commands.ttl,No,Commands.ttl,Commands.ttl,new,0.0%,-,-,-,-
PPV\Decoder\GNR\log_portid.json,PPV\Decoder\GNR\log_portid.json,No,log_portid.json,log_portid.json,new,0.0%,-,-,-,-
Automation_Flow\AutomationBuilder.py,Automation_Flow\AutomationBuilder.py,No,AutomationBuilder.py,AutomationBuilder.py,new,0.0%,-,-,-,-
PPV\utils\PPVReportMerger.py,PPV\utils\PPVReportMerger.py,No,PPVReportMerger.py,PPVReportMerger.py,new,0.0%,-,-,-,-
PPV\parsers\Frameworkparser.py,PPV\parsers\Frameworkparser.py,No,Frameworkparser.py,Frameworkparser.py,new,0.0%,-,-,-,-
Automation_Flow\AutomationTracker.py,Automation_Flow\AutomationTracker.py,No,AutomationTracker.py,AutomationTracker.py,new,0.0%,-,-,-,-
PPV\Decoder\GNR\ubox_params.json,PPV\Decoder\GNR\ubox_params.json,No,ubox_params.json,ubox_params.json,new,0.0%,-,-,-,-
ExecutionHandler\Configurations.py,ExecutionHandler\Configurations.py,No,Configurations.py,Configurations.py,new,0.0%,-,-,-,-
PPV\parsers\OverviewAnalyzer.py,PPV\parsers\OverviewAnalyzer.py,No,OverviewAnalyzer.py,OverviewAnalyzer.py,new,0.0%,-,-,-,-
PPV\Decoder\GNR\b2cmi_params.json,PPV\Decoder\GNR\b2cmi_params.json,No,b2cmi_params.json,b2cmi_params.json,new,0.0%,-,-,-,-
PPV\gui\PPVFrameworkReport.py,PPV\gui\PPVFrameworkReport.py,No,PPVFrameworkReport.py,PPVFrameworkReport.py,new,0.0%,-,-,-,-
ExecutionHandler\StatusManager.py,ExecutionHandler\StatusManager.py,No,StatusManager.py,StatusManager.py,new,0.0%,-,-,-,-
TTL\Commands_slice.ttl,TTL\Commands_slice.ttl,No,Commands_slice.ttl,Commands_slice.ttl,new,0.0%,-,-,-,-
ExecutionHandler\utils\ReportGenerator.py,ExecutionHandler\utils\ReportGenerator.py,No,ReportGenerator.py,ReportGenerator.py,new,0.0%,-,-,-,-
PPV\gui\PPVDataChecks.py,PPV\gui\PPVDataChecks.py,No,PPVDataChecks.py,PPVDataChecks.py,new,0.0%,-,-,-,-
TTL\StartLog.ttl,TTL\StartLog.ttl,No,StartLog.ttl,StartLog.ttl,new,0.0%,-,-,-,-
Storage_Handler\DBUserInterface.py,Storage_Handler\DBUserInterface.py,No,DBUserInterface.py,DBUserInterface.py,new,0.0%,-,-,-,-
Storage_Handler\ReportUtils.py,Storage_Handler\ReportUtils.py,No,ReportUtils.py,ReportUtils.py,new,0.0%,-,-,-,-
PPV\Decoder\TransformJson.py,PPV\Decoder\TransformJson.py,No,TransformJson.py,TransformJson.py,new,0.0%,-,-,-,-
Shmoos\RVPShmooConfig.json,Shmoos\RVPShmooConfig.json,No,RVPShmooConfig.json,RVPShmooConfig.json,new,0.0%,-,-,-,-
PPV\gui\ProductSelector.py,PPV\gui\ProductSelector.py,No,ProductSelector.py,ProductSelector.py,new,0.0%,-,-,-,-
Automation_Flow\AutomationHandler.py,Automation_Flow\AutomationHandler.py,No,AutomationHandler.py,AutomationHandler.py,new,0.0%,-,-,-,-
MaskEditor.py,MaskEditor.py,No,MaskEditor.py,MaskEditor.py,new,0.0%,-,-,-,-
EFI\patternfinder.py,EFI\patternfinder.py,No,patternfinder.py,patternfinder.py,new,0.0%,-,-,-,-
TTL\Connect.ttl,TTL\Connect.ttl,No,Connect.ttl,Connect.ttl,new,0.0%,-,-,-,-
PPV\Decoder\GNR\b2hot_params.json,PPV\Decoder\GNR\b2hot_params.json,No,b2hot_params.json,b2hot_params.json,new,0.0%,-,-,-,-
TTL\MeshContent.ttl,TTL\MeshContent.ttl,No,MeshContent.ttl,MeshContent.ttl,new,0.0%,-,-,-,-
ExecutionHandler\Exceptions.py,ExecutionHandler\Exceptions.py,No,Exceptions.py,Exceptions.py,new,0.0%,-,-,-,-
