Deployment Report
Timestamp,20260114_170851
Product,GNR
Source Type,BASELINE
Deployment Type,S2T
Target,Q:\Gaespino\scripts\s2t\Deploys\GNR\dev\S2T
Total Files Scanned,32
Product Filtered,31
Deployed Successfully,1
Errors,0

DEPLOYED FILES
Source File,Target File,Renamed,Old Name,New Name,Status,Similarity,Import Replacements,Filename Import Updates,Import Change Lines,Rename Change Lines
product_specific\gnr\configs.py,product_specific\gnr\configs.py,No,configs.py,configs.py,minor_changes,86.7%,-,-,-,-

DETAILED LINE CHANGES
File,Line,Change Type,Old Content,New Content

SKIPPED FILES
File,Reason,Status,Renamed,New Name
Tools\utils.py,Not selected,identical,No,-
dpmChecks.py,Not selected,identical,No,-
CoreManipulation.py,Not selected,identical,No,-
SetTesterRegs.py,Not selected,identical,No,-
product_specific\gnr\mca_banks.py,Not selected,identical,No,-
product_specific\gnr\ConfigFiles\GNRMasksConfig.json,Not selected,identical,No,-
Logger\ErrorReport_legacy.py,Not selected,new,No,-
ConfigsLoader.py,Not selected,identical,No,-
managers\product_strategy.py,Not selected,identical,No,-
DffDataCollector.py,Not selected,identical,No,-
product_specific\gnr\functions.py,Not selected,identical,No,-
product_specific\gnr\RegFiles\s2tmeshdata.json,Not selected,identical,No,-
product_specific\gnr\strategy.py,Not selected,identical,No,-
product_specific\gnr\ConfigFiles\GNRBurnInFuses.json,Not selected,identical,No,-
UI\System2TesterUI.py,Not selected,identical,No,-
Logger\ErrorReportClass.py,Not selected,identical,No,-
Logger\logger.py,Not selected,identical,No,-
UI\DffDataUI.py,Not selected,identical,No,-
Logger\ErrorReport.py,Not selected,identical,No,-
product_specific\gnr\ConfigFiles\GNRFuseFileConfigs.json,Not selected,identical,No,-
product_specific\gnr\RegFiles\s2tregdata.json,Not selected,identical,No,-
UI\ExperimentsForm.py,Not selected,new,No,-
Logger\ErrorReport_original_backup.py,Not selected,new,No,-
managers\frequency_manager.py,Not selected,identical,No,-
GetTesterCurves.py,Not selected,identical,No,-
UI\System2TesterUI_Modern.py,Not selected,new,No,-
product_specific\gnr\registers.py,Not selected,identical,No,-
Tools\portid2ip.py,Not selected,identical,No,-
product_specific\gnr\ConfigFiles\GNRMasksDebug.json,Not selected,identical,No,-
Tools\requests_unit_info.py,Not selected,identical,No,-
managers\voltage_manager.py,Not selected,identical,No,-
