Deployment Report
Timestamp,20260115_150745
Product,GNR
Source Type,BASELINE
Deployment Type,S2T
Target,Q:\Gaespino\scripts\s2t\Deploys\GNR\prod\S2T
Total Files Scanned,32
Product Filtered,29
Deployed Successfully,3
Errors,0

DEPLOYED FILES
Source File,Target File,Renamed,Old Name,New Name,Status,Similarity,Import Replacements,Filename Import Updates,Import Change Lines,Rename Change Lines
Logger\logger.py,Logger\logger.py,No,logger.py,logger.py,minimal_changes,99.7%,users.gaespino.dev.S2T. → users.THR.PythonScripts.thr.S2T.,-,9,-
Logger\ErrorReport.py,Logger\ErrorReport.py,No,ErrorReport.py,ErrorReport.py,minimal_changes,99.7%,users.gaespino.dev.DebugFramework. → users.gaespino.DebugFramework.,-,37,-
Logger\ErrorReportClass.py,Logger\ErrorReportClass.py,No,ErrorReportClass.py,ErrorReportClass.py,minimal_changes,99.9%,users.gaespino.dev.S2T. → users.THR.PythonScripts.thr.S2T.,-,1230,-

DETAILED LINE CHANGES
File,Line,Change Type,Old Content,New Content
Logger\logger.py,9,Import Replacement,import  users.gaespino.dev.S2T.Logger.ErrorReport as dpmlog,import  users.THR.PythonScripts.thr.S2T.Logger.ErrorReport as dpmlog
Logger\ErrorReport.py,37,Import Replacement,import users.gaespino.dev.DebugFramework.FileHandler as file_handler,import users.gaespino.DebugFramework.FileHandler as file_handler
Logger\ErrorReportClass.py,1230,Import Replacement,import users.gaespino.dev.S2T.ConfigsLoader as pe,import users.THR.PythonScripts.thr.S2T.ConfigsLoader as pe

SKIPPED FILES
File,Reason,Status,Renamed,New Name
UI\ExperimentsForm.py,Not selected,new,No,-
SetTesterRegs.py,Not selected,identical,Yes,GNRSetTesterRegs.py
product_specific\gnr\registers.py,Not selected,identical,No,-
product_specific\gnr\ConfigFiles\GNRMasksDebug.json,Not selected,identical,No,-
product_specific\gnr\strategy.py,Not selected,identical,No,-
product_specific\gnr\ConfigFiles\GNRBurnInFuses.json,Not selected,identical,No,-
managers\voltage_manager.py,Not selected,identical,No,-
dpmChecks.py,Not selected,identical,Yes,dpmChecksGNR.py
product_specific\gnr\functions.py,Not selected,identical,No,-
Tools\requests_unit_info.py,Not selected,identical,No,-
Logger\ErrorReport_original_backup.py,Not selected,new,No,-
UI\System2TesterUI_Modern.py,Not selected,new,No,-
UI\System2TesterUI.py,Not selected,identical,No,-
GetTesterCurves.py,Not selected,identical,Yes,GNRGetTesterCurves.py
managers\product_strategy.py,Not selected,identical,No,-
product_specific\gnr\configs.py,Not selected,identical,No,-
Logger\ErrorReport_legacy.py,Not selected,new,No,-
product_specific\gnr\mca_banks.py,Not selected,identical,No,-
product_specific\gnr\RegFiles\s2tregdata.json,Not selected,identical,No,-
UI\DffDataUI.py,Not selected,identical,No,-
product_specific\gnr\ConfigFiles\GNRFuseFileConfigs.json,Not selected,identical,No,-
Tools\portid2ip.py,Not selected,identical,No,-
ConfigsLoader.py,Not selected,identical,No,-
CoreManipulation.py,Not selected,identical,Yes,GNRCoreManipulation.py
managers\frequency_manager.py,Not selected,identical,No,-
product_specific\gnr\ConfigFiles\GNRMasksConfig.json,Not selected,identical,No,-
product_specific\gnr\RegFiles\s2tmeshdata.json,Not selected,identical,No,-
DffDataCollector.py,Not selected,identical,Yes,GNRDffDataCollector.py
Tools\utils.py,Not selected,identical,No,-
