Deployment Report
Timestamp,20260115_153223
Product,GNR
Source Type,BASELINE
Deployment Type,S2T
Target,Q:\Gaespino\scripts\s2t\Deploys\GNR\prod\S2T
Total Files Scanned,32
Product Filtered,29
Deployed Successfully,3
Errors,0

DEPLOYED FILES
Source File,Target File,Renamed,Old Name,New Name,Status,Similarity,Import Replacements,Filename Import Updates,Import Change Lines,Rename Change Lines
CoreManipulation.py,GNRCoreManipulation.py,Yes,CoreManipulation.py,GNRCoreManipulation.py,minimal_changes,100.0%,import dpmChecks → import dpmChecksGNR,import dpmChecks → import dpmChecksGNR,59,59
dpmChecks.py,dpmChecksGNR.py,Yes,dpmChecks.py,dpmChecksGNR.py,minimal_changes,100.0%,import CoreManipulation → import GNRCoreManipulation,-,95,-
Logger\ErrorReport.py,Logger\ErrorReport.py,No,ErrorReport.py,ErrorReport.py,minimal_changes,99.3%,users.gaespino.dev.DebugFramework. → users.gaespino.DebugFramework.; import dpmChecks → import dpmChecksGNR; import CoreManipulation → import GNRCoreManipulation,-,"31, 37, 44",-

DETAILED LINE CHANGES
File,Line,Change Type,Old Content,New Content
CoreManipulation.py,59,Import Replacement,import dpmChecks as dpm,import dpmChecksGNR as dpm
CoreManipulation.py,59,Filename Import Update,import dpmChecksGNR as dpm,import dpmChecksGNRGNR as dpm
dpmChecks.py,95,Import Replacement,import CoreManipulation as gcm,import GNRCoreManipulation as gcm
Logger\ErrorReport.py,31,Import Replacement,import CoreManipulation as core_manipulation,import GNRCoreManipulation as core_manipulation
Logger\ErrorReport.py,37,Import Replacement,import users.gaespino.dev.DebugFramework.FileHandler as file_handler,import users.gaespino.DebugFramework.FileHandler as file_handler
Logger\ErrorReport.py,44,Import Replacement,import dpmChecks as dpm_checks,import dpmChecksGNR as dpm_checks

SKIPPED FILES
File,Reason,Status,Renamed,New Name
Tools\utils.py,Not selected,identical,No,-
product_specific\gnr\strategy.py,Not selected,identical,No,-
Logger\ErrorReport_legacy.py,Not selected,new,No,-
UI\System2TesterUI_Modern.py,Not selected,new,No,-
Logger\ErrorReportClass.py,Not selected,identical,No,-
ConfigsLoader.py,Not selected,identical,No,-
product_specific\gnr\mca_banks.py,Not selected,identical,No,-
UI\DffDataUI.py,Not selected,identical,No,-
product_specific\gnr\registers.py,Not selected,identical,No,-
product_specific\gnr\RegFiles\s2tregdata.json,Not selected,identical,No,-
DffDataCollector.py,Not selected,identical,Yes,GNRDffDataCollector.py
Logger\ErrorReport_original_backup.py,Not selected,new,No,-
product_specific\gnr\configs.py,Not selected,identical,No,-
product_specific\gnr\ConfigFiles\GNRMasksConfig.json,Not selected,identical,No,-
Tools\requests_unit_info.py,Not selected,identical,No,-
SetTesterRegs.py,Not selected,identical,Yes,GNRSetTesterRegs.py
product_specific\gnr\functions.py,Not selected,identical,No,-
product_specific\gnr\ConfigFiles\GNRFuseFileConfigs.json,Not selected,identical,No,-
product_specific\gnr\ConfigFiles\GNRMasksDebug.json,Not selected,identical,No,-
GetTesterCurves.py,Not selected,identical,Yes,GNRGetTesterCurves.py
product_specific\gnr\ConfigFiles\GNRBurnInFuses.json,Not selected,identical,No,-
UI\ExperimentsForm.py,Not selected,new,No,-
UI\System2TesterUI.py,Not selected,identical,No,-
product_specific\gnr\RegFiles\s2tmeshdata.json,Not selected,identical,No,-
Tools\portid2ip.py,Not selected,identical,No,-
managers\product_strategy.py,Not selected,identical,No,-
managers\frequency_manager.py,Not selected,identical,No,-
managers\voltage_manager.py,Not selected,identical,No,-
Logger\logger.py,Not selected,identical,No,-
