Deployment Report
Timestamp,20260116_085418
Product,DMR
Source Type,BASELINE_DMR
Deployment Type,S2T
Target,Q:\Gaespino\scripts\s2t\Deploys\DMR\prod\S2T
Total Files Scanned,30
Product Filtered,25
Deployed Successfully,5
Errors,0

DEPLOYED FILES
Source File,Target File,Renamed,Old Name,New Name,Status,Similarity,Import Replacements,Filename Import Updates,Import Change Lines,Rename Change Lines
dpmChecks.py,dpmChecks.py,No,dpmChecks.py,dpmChecks.py,identical,100.0%,-,-,-,-
Logger\ErrorReport.py,Logger\ErrorReport.py,No,ErrorReport.py,ErrorReport.py,minimal_changes,99.7%,users.gaespino.dev.DebugFramework. → users.THR.dmr_debug_utilities.DebugFramework.; import CoreManipulation → import CoreManipulation; import dpmChecks → import dpmChecks,-,37,-
Logger\ErrorReportClass.py,Logger\ErrorReportClass.py,No,ErrorReportClass.py,ErrorReportClass.py,minimal_changes,99.9%,users.gaespino.dev.S2T. → users.THR.dmr_debug_utilities.S2T.,-,1230,-
CoreManipulation.py,CoreManipulation.py,No,CoreManipulation.py,CoreManipulation.py,identical,100.0%,-,-,-,-
Logger\logger.py,Logger\logger.py,No,logger.py,logger.py,minimal_changes,99.7%,users.gaespino.dev.S2T. → users.THR.dmr_debug_utilities.S2T.,-,9,-

DETAILED LINE CHANGES
File,Line,Change Type,Old Content,New Content
Logger\ErrorReport.py,37,Import Replacement,import users.gaespino.dev.DebugFramework.FileHandler as file_handler,import users.THR.dmr_debug_utilities.DebugFramework.FileHandler as file_handler
Logger\ErrorReportClass.py,1230,Import Replacement,import users.gaespino.dev.S2T.ConfigsLoader as pe,import users.THR.dmr_debug_utilities.S2T.ConfigsLoader as pe
Logger\logger.py,9,Import Replacement,import  users.gaespino.dev.S2T.Logger.ErrorReport as dpmlog,import  users.THR.dmr_debug_utilities.S2T.Logger.ErrorReport as dpmlog

SKIPPED FILES
File,Reason,Status,Renamed,New Name
product_specific\dmr\strategy.py,Not selected,identical,No,-
Tools\utils.py,Not selected,identical,No,-
product_specific\dmr\configs.py,Not selected,identical,No,-
product_specific\dmr\ConfigFiles\DMRBurnInFuses.json,Not selected,identical,No,-
UI\System2TesterUI_Modern.py,Not selected,identical,No,-
product_specific\dmr\registers.py,Not selected,identical,No,-
ConfigsLoader.py,Not selected,identical,No,-
UI\DffDataUI.py,Not selected,identical,No,-
DffDataCollector.py,Not selected,identical,No,-
Tools\requests_unit_info.py,Not selected,identical,No,-
product_specific\dmr\functions.py,Not selected,identical,No,-
product_specific\dmr\ConfigFiles\DMRMasksDebug.json,Not selected,identical,No,-
product_specific\dmr\ConfigFiles\DMRFuseFileConfigs.json,Not selected,identical,No,-
product_specific\dmr\ConfigFiles\DMRMasksConfig.json,Not selected,identical,No,-
SetTesterRegs.py,Not selected,identical,No,-
product_specific\dmr\RegFiles\s2tmeshdata.json,Not selected,identical,No,-
GetTesterCurves.py,Not selected,identical,No,-
UI\ExperimentsForm.py,Not selected,identical,No,-
product_specific\dmr\mca_banks.py,Not selected,identical,No,-
UI\System2TesterUI.py,Not selected,identical,No,-
product_specific\dmr\RegFiles\s2tregdata.json,Not selected,identical,No,-
Tools\portid2ip.py,Not selected,identical,No,-
managers\product_strategy.py,Not selected,identical,No,-
managers\frequency_manager.py,Not selected,identical,No,-
managers\voltage_manager.py,Not selected,identical,No,-
