Deployment Report
Timestamp,20260116_092545
Product,CWF
Source Type,BASELINE
Deployment Type,DebugFramework
Target,Q:\Gaespino\scripts\s2t\Deploys\CWF\prod\DebugFramework
Total Files Scanned,102
Product Filtered,95
Deployed Successfully,7
Errors,0

DEPLOYED FILES
Source File,Target File,Renamed,Old Name,New Name,Status,Similarity,Import Replacements,Filename Import Updates,Import Change Lines,Rename Change Lines
SystemDebug.py,CWFSystemDebug.py,Yes,SystemDebug.py,CWFSystemDebug.py,new,0.0%,users.gaespino.dev.DebugFramework. → users.gaespino.DebugFramework.; users.gaespino.dev.S2T.CoreManipulation → users.THR.PythonScripts.thr.S2T.CWFCoreManipulation; users.gaespino.dev.S2T.dpmChecks → users.THR.PythonScripts.thr.S2T.dpmChecksCWF (+2 more),-,"51, 127, 128, 129, 132",-
UI\Serial.py,UI\Serial.py,No,Serial.py,Serial.py,minimal_changes,99.1%,users.gaespino.dev.DebugFramework. → users.gaespino.DebugFramework.,-,"5, 6",-
ExecutionHandler\utils\FrameworkUtils.py,ExecutionHandler\utils\FrameworkUtils.py,No,FrameworkUtils.py,FrameworkUtils.py,minimal_changes,98.6%,users.gaespino.dev.S2T.CoreManipulation → users.THR.PythonScripts.thr.S2T.CWFCoreManipulation; users.gaespino.dev.S2T.dpmChecks → users.THR.PythonScripts.thr.S2T.dpmChecksCWF; users.gaespino.dev.S2T.SetTesterRegs → users.THR.PythonScripts.thr.S2T.CWFSetTesterRegs (+1 more),-,"12, 18, 24, 29",-
MaskEditor.py,CWFMaskEditor.py,Yes,MaskEditor.py,CWFMaskEditor.py,new,0.0%,-,-,-,-
UI\ControlPanel.py,UI\ControlPanel.py,No,ControlPanel.py,ControlPanel.py,minimal_changes,100.0%,import DebugFramework.MaskEditor → import DebugFramework.CWFMaskEditor,-,30,-
Storage_Handler\DBHandler.py,Storage_Handler\DBHandler.py,No,DBHandler.py,DBHandler.py,minimal_changes,98.2%,users.gaespino.dev.DebugFramework. → users.gaespino.DebugFramework.,-,"3, 4, 5",-
SerialConnection.py,SerialConnection.py,No,SerialConnection.py,SerialConnection.py,minimal_changes,99.5%,users.gaespino.dev.DebugFramework. → users.gaespino.DebugFramework.; users.gaespino.dev.S2T.dpmChecks → users.THR.PythonScripts.thr.S2T.dpmChecksCWF; users.gaespino.dev.S2T. → users.THR.PythonScripts.thr.S2T.,-,"8, 9, 10",-

DETAILED LINE CHANGES
File,Line,Change Type,Old Content,New Content
SystemDebug.py,51,Import Replacement,#	import users.gaespino.dev.DebugFramework.Storage_Handler.DBHandler as db,#	import users.gaespino.DebugFramework.Storage_Handler.DBHandler as db
SystemDebug.py,127,Import Replacement,import users.gaespino.dev.S2T.CoreManipulation as gcm,import users.THR.PythonScripts.thr.S2T.CWFCoreManipulation as gcm
SystemDebug.py,128,Import Replacement,import users.gaespino.dev.S2T.dpmChecks as dpm,import users.THR.PythonScripts.thr.S2T.dpmChecksCWF as dpm
SystemDebug.py,129,Import Replacement,import users.gaespino.dev.S2T.SetTesterRegs as s2t,import users.THR.PythonScripts.thr.S2T.CWFSetTesterRegs as s2t
SystemDebug.py,132,Import Replacement,import users.gaespino.dev.S2T.Tools.utils as s2tutils,import users.THR.PythonScripts.thr.S2T.Tools.utils as s2tutils
UI\Serial.py,5,Import Replacement,#from users.gaespino.dev.DebugFramework.SerialConnection import teraterm,#from users.gaespino.DebugFramework.SerialConnection import teraterm
UI\Serial.py,6,Import Replacement,try:from users.gaespino.dev.DebugFramework.FileHandler import printlog,try:from users.gaespino.DebugFramework.FileHandler import printlog
ExecutionHandler\utils\FrameworkUtils.py,12,Import Replacement,import users.gaespino.dev.S2T.CoreManipulation as gcm,import users.THR.PythonScripts.thr.S2T.CWFCoreManipulation as gcm
ExecutionHandler\utils\FrameworkUtils.py,18,Import Replacement,import users.gaespino.dev.S2T.dpmChecks as dpm,import users.THR.PythonScripts.thr.S2T.dpmChecksCWF as dpm
ExecutionHandler\utils\FrameworkUtils.py,24,Import Replacement,import users.gaespino.dev.S2T.SetTesterRegs as s2t,import users.THR.PythonScripts.thr.S2T.CWFSetTesterRegs as s2t
ExecutionHandler\utils\FrameworkUtils.py,29,Import Replacement,import users.gaespino.dev.S2T.Tools.utils as s2tutils,import users.THR.PythonScripts.thr.S2T.Tools.utils as s2tutils
UI\ControlPanel.py,30,Import Replacement,import DebugFramework.MaskEditor as gme,import DebugFramework.CWFMaskEditor as gme
Storage_Handler\DBHandler.py,3,Import Replacement,from users.gaespino.dev.DebugFramework.Storage_Handler.DBClient import DB_Client,from users.gaespino.DebugFramework.Storage_Handler.DBClient import DB_Client
Storage_Handler\DBHandler.py,4,Import Replacement,import users.gaespino.dev.DebugFramework.Storage_Handler.ReportUtils as reportUtils,import users.gaespino.DebugFramework.Storage_Handler.ReportUtils as reportUtils
