Deployment Report
Timestamp,20260203_142426
Product,DMR
Source Type,BASELINE_DMR
Deployment Type,S2T
Target,Q:\Gaespino\scripts\s2t\Deploys\DMR\prod\S2T
Total Files Scanned,32
Product Filtered,27
Deployed Successfully,5
Errors,0

DEPLOYED FILES
Source File,Target File,Renamed,Old Name,New Name,Status,Similarity,Import Replacements,Filename Import Updates,Import Change Lines,Rename Change Lines
dpmChecks.py,dpmChecks.py,No,dpmChecks.py,dpmChecks.py,minimal_changes,100.0%,-,-,-,-
DffDataCollector.py,DffDataCollector.py,No,DffDataCollector.py,DffDataCollector.py,minor_changes,78.6%,-,-,-,-
product_specific\dmr\configs.py,product_specific\dmr\configs.py,No,configs.py,configs.py,minor_changes,86.0%,-,-,-,-
GetTesterCurves.py,GetTesterCurves.py,No,GetTesterCurves.py,GetTesterCurves.py,minor_changes,74.7%,-,-,-,-
UI\DffDataUI.py,UI\DffDataUI.py,No,DffDataUI.py,DffDataUI.py,minor_changes,84.0%,-,-,-,-

DETAILED LINE CHANGES
File,Line,Change Type,Old Content,New Content

SKIPPED FILES
File,Reason,Status,Renamed,New Name
product_specific\dmr\registers.py,Not selected,identical,No,-
product_specific\dmr\ConfigFiles\DMRFuseFileConfigs.json,Not selected,identical,No,-
Logger\logger.py,Not selected,identical,No,-
Tools\requests_unit_info.py,Not selected,identical,No,-
Logger\ErrorReport.py,Not selected,identical,No,-
product_specific\dmr\fusefilegen.py,Not selected,identical,No,-
product_specific\dmr\RegFiles\s2tmeshdata.json,Not selected,identical,No,-
test_curves.py,Not selected,new,No,-
SetTesterRegs.py,Not selected,identical,No,-
Tools\utils.py,Not selected,identical,No,-
Tools\portid2ip.py,Not selected,identical,No,-
UI\System2TesterUI.py,Not selected,identical,No,-
Logger\ErrorReportClass.py,Not selected,identical,No,-
managers\voltage_manager.py,Not selected,identical,No,-
ConfigsLoader.py,Not selected,identical,No,-
UI\ExperimentsForm.py,Not selected,identical,No,-
product_specific\dmr\ConfigFiles\DMRMasksConfig.json,Not selected,identical,No,-
product_specific\dmr\ConfigFiles\DMRMasksDebug.json,Not selected,identical,No,-
product_specific\dmr\ConfigFiles\DMRBurnInFuses.json,Not selected,identical,No,-
managers\product_strategy.py,Not selected,identical,No,-
product_specific\dmr\functions.py,Not selected,identical,No,-
product_specific\dmr\strategy.py,Not selected,identical,No,-
product_specific\dmr\RegFiles\s2tregdata.json,Not selected,identical,No,-
managers\frequency_manager.py,Not selected,identical,No,-
UI\System2TesterUI_Modern.py,Not selected,identical,No,-
product_specific\dmr\mca_banks.py,Not selected,identical,No,-
CoreManipulation.py,Not selected,identical,No,-
