Deployment Report
Timestamp,20260209_111438
Product,DMR
Source Type,PPV
Deployment Type,PPV
Target,C:\Git\Automation\S2T\BASELINE\DebugFramework\PPV
Total Files Scanned,40
Product Filtered,39
Deployed Successfully,1
Errors,0

DEPLOYED FILES
Source File,Target File,Renamed,Old Name,New Name,Status,Similarity,Import Replacements,Filename Import Updates,Import Change Lines,Rename Change Lines
Decoder\DMR\ccf_params.json,Decoder\DMR\ccf_params.json,No,ccf_params.json,ccf_params.json,new,0.0%,-,-,-,-

DETAILED LINE CHANGES
File,Line,Change Type,Old Content,New Content

SKIPPED FILES
File,Reason,Status,Renamed,New Name
Decoder\dragon_bucketing.py,Not selected,identical,No,-
test_mca_decoder.py,Not selected,new,No,-
gui\ProductSelector.py,Not selected,identical,No,-
utils\PPVReportMerger.py,Not selected,identical,No,-
parsers\FrameworkAnalyzer.py,Not selected,identical,No,-
Decoder\DMR\mc_subch_params.json,Not selected,identical,No,-
utils\folder_list.py,Not selected,identical,No,-
Decoder\DMR\llc_params.json,Not selected,identical,No,-
utils\aqua_report.py,Not selected,identical,No,-
gui\PPVDataChecks.py,Not selected,identical,No,-
Decoder\faildetection.py,Not selected,identical,No,-
Decoder\DMR\log_portid.json,Not selected,identical,No,-
gui\ExperimentBuilder.py,Not selected,identical,No,-
gui\PPVTools.py,Not selected,identical,No,-
Decoder\DMR\ubox_params.json,Not selected,identical,No,-
gui\AutomationDesigner.py,Not selected,identical,No,-
Decoder\DMR\mse_params.json,Not selected,identical,No,-
utils\DeveloperEnvironment.py,Not selected,identical,No,-
gui\MCADecoder.py,Not selected,identical,No,-
Decoder\decoder.py,Not selected,identical,No,-
parsers\MCAparser.py,Not selected,identical,No,-
gui\PPVFrameworkReport.py,Not selected,identical,No,-
Decoder\DMR\cache_params.json,Not selected,identical,No,-
gui\PPVLoopChecks.py,Not selected,identical,No,-
parsers\PPVLoopsParser.py,Not selected,identical,No,-
Decoder\DMR\cha_params.json,Not selected,identical,No,-
api\dpmb.py,Not selected,identical,No,-
Decoder\DMR\core_params.json,Not selected,identical,No,-
Decoder\DMR\hamvf_params.json,Not selected,identical,No,-
gui\PPVFileHandler.py,Not selected,identical,No,-
utils\ExcelReportBuilder.py,Not selected,identical,No,-
utils\FrameworkFileFix.py,Not selected,identical,No,-
Decoder\TransformJson.py,Not selected,identical,No,-
Decoder\DMR\ubr_params.json,Not selected,identical,No,-
Decoder\DMR\ula_params.json,Not selected,identical,No,-
parsers\Frameworkparser.py,Not selected,identical,No,-
parsers\OverviewAnalyzer.py,Not selected,identical,No,-
run.py,Not selected,identical,No,-
Decoder\DMR\sca_params.json,Not selected,identical,No,-
