Deployment Report
Timestamp,20260209_111527
Product,DMR
Source Type,PPV
Deployment Type,PPV
Target,C:\Git\Automation\S2T\BASELINE_DMR\DebugFramework\PPV
Total Files Scanned,40
Product Filtered,31
Deployed Successfully,9
Errors,0

DEPLOYED FILES
Source File,Target File,Renamed,Old Name,New Name,Status,Similarity,Import Replacements,Filename Import Updates,Import Change Lines,Rename Change Lines
gui\PPVFrameworkReport.py,gui\PPVFrameworkReport.py,No,PPVFrameworkReport.py,PPVFrameworkReport.py,minimal_changes,99.8%,-,-,-,-
utils\PPVReportMerger.py,utils\PPVReportMerger.py,No,PPVReportMerger.py,PPVReportMerger.py,minimal_changes,90.0%,-,-,-,-
gui\AutomationDesigner.py,gui\AutomationDesigner.py,No,AutomationDesigner.py,AutomationDesigner.py,minimal_changes,98.8%,-,-,-,-
utils\DeveloperEnvironment.py,utils\DeveloperEnvironment.py,No,DeveloperEnvironment.py,DeveloperEnvironment.py,minor_changes,82.0%,-,-,-,-
utils\aqua_report.py,utils\aqua_report.py,No,aqua_report.py,aqua_report.py,minimal_changes,90.5%,-,-,-,-
parsers\Frameworkparser.py,parsers\Frameworkparser.py,No,Frameworkparser.py,Frameworkparser.py,minor_changes,81.6%,-,-,-,-
parsers\PPVLoopsParser.py,parsers\PPVLoopsParser.py,No,PPVLoopsParser.py,PPVLoopsParser.py,minor_changes,89.0%,-,-,-,-
parsers\MCAparser.py,parsers\MCAparser.py,No,MCAparser.py,MCAparser.py,minimal_changes,99.9%,-,-,-,-
gui\ExperimentBuilder.py,gui\ExperimentBuilder.py,No,ExperimentBuilder.py,ExperimentBuilder.py,minimal_changes,99.9%,-,-,-,-

DETAILED LINE CHANGES
File,Line,Change Type,Old Content,New Content

SKIPPED FILES
File,Reason,Status,Renamed,New Name
Decoder\dragon_bucketing.py,Not selected,identical,No,-
test_mca_decoder.py,Not selected,new,No,-
gui\ProductSelector.py,Not selected,identical,No,-
parsers\FrameworkAnalyzer.py,Not selected,identical,No,-
Decoder\DMR\mc_subch_params.json,Not selected,identical,No,-
utils\folder_list.py,Not selected,identical,No,-
Decoder\DMR\llc_params.json,Not selected,identical,No,-
gui\PPVDataChecks.py,Not selected,identical,No,-
Decoder\faildetection.py,Not selected,identical,No,-
Decoder\DMR\log_portid.json,Not selected,identical,No,-
gui\PPVTools.py,Not selected,identical,No,-
Decoder\DMR\ubox_params.json,Not selected,identical,No,-
Decoder\DMR\mse_params.json,Not selected,identical,No,-
gui\MCADecoder.py,Not selected,identical,No,-
Decoder\decoder.py,Not selected,identical,No,-
Decoder\DMR\cache_params.json,Not selected,identical,No,-
gui\PPVLoopChecks.py,Not selected,identical,No,-
Decoder\DMR\cha_params.json,Not selected,identical,No,-
api\dpmb.py,Not selected,new,No,-
Decoder\DMR\core_params.json,Not selected,identical,No,-
Decoder\DMR\hamvf_params.json,Not selected,identical,No,-
gui\PPVFileHandler.py,Not selected,identical,No,-
utils\ExcelReportBuilder.py,Not selected,identical,No,-
utils\FrameworkFileFix.py,Not selected,identical,No,-
Decoder\TransformJson.py,Not selected,identical,No,-
Decoder\DMR\ubr_params.json,Not selected,identical,No,-
Decoder\DMR\ula_params.json,Not selected,identical,No,-
parsers\OverviewAnalyzer.py,Not selected,identical,No,-
Decoder\DMR\ccf_params.json,Not selected,identical,No,-
run.py,Not selected,new,No,-
Decoder\DMR\sca_params.json,Not selected,identical,No,-
