Deployment Report
Timestamp,20260215_133138
Product,GNR
Source Type,BASELINE
Deployment Type,S2T
Target,Q:\Gaespino\scripts\s2t\Deploys\GNR\prod\S2T
Total Files Scanned,42
Product Filtered,41
Deployed Successfully,1
Errors,0

DEPLOYED FILES
Source File,Target File,Renamed,Old Name,New Name,Status,Similarity,Import Replacements,Filename Import Updates,Import Change Lines,Rename Change Lines
dpmChecks.py,dpmChecksGNR.py,Yes,dpmChecks.py,dpmChecksGNR.py,minimal_changes,100.0%,import CoreManipulation → import GNRCoreManipulation,-,96,-

DETAILED LINE CHANGES
File,Line,Change Type,Old Content,New Content
dpmChecks.py,96,Import Replacement,import CoreManipulation as gcm,import GNRCoreManipulation as gcm

SKIPPED FILES
File,Reason,Status,Renamed,New Name
product_specific\gnr\ConfigFiles\GNRBurnInFuses.json,Not selected,identical,No,-
product_specific\gnr\fusefilegen.py,Not selected,identical,No,-
Logger\ErrorReport_original_backup.py,Not selected,new,No,-
product_specific\gnr\LoggerFiles\TileView_Template.xlsx,Not selected,identical,No,-
UI\DffDataUI.py,Not selected,identical,No,-
GetTesterCurves.py,Not selected,identical,Yes,GNRGetTesterCurves.py
product_specific\gnr\RegFiles\s2tmeshdata.json,Not selected,identical,No,-
product_specific\gnr\functions.py,Not selected,identical,No,-
CoreManipulation.py,Not selected,minimal_changes,Yes,GNRCoreManipulation.py
UI\ExperimentsForm.py,Not selected,new,No,-
ConfigsLoader.py,Not selected,identical,No,-
Tools\requests_unit_info.py,Not selected,identical,No,-
UI\System2TesterUI_Modern.py,Not selected,new,No,-
managers\voltage_manager.py,Not selected,identical,No,-
Fuse\disable_amx.cfg,Not selected,identical,No,-
Logger\ErrorReport.py,Not selected,identical,No,-
managers\frequency_manager.py,Not selected,identical,No,-
product_specific\gnr\mca_banks.py,Not selected,identical,No,-
EFI Tools\bkc_gnr_revisions.ini,Not selected,identical,No,-
DffDataCollector.py,Not selected,identical,Yes,GNRDffDataCollector.py
SetTesterRegs.py,Not selected,identical,Yes,GNRSetTesterRegs.py
Logger\ErrorReportClass.py,Not selected,identical,No,-
managers\product_strategy.py,Not selected,identical,No,-
product_specific\gnr\ConfigFiles\GNRFuseFileConfigs.json,Not selected,identical,No,-
Fuse\disable_HT.cfg,Not selected,identical,No,-
Tools\portid2ip.py,Not selected,identical,No,-
Fuse\pm_enable_no_vf.cfg.txt,Not selected,identical,No,-
Logger\logger.py,Not selected,identical,No,-
Fuse\pm_enable_no_vf.cfg,Not selected,identical,No,-
product_specific\gnr\configs.py,Not selected,identical,No,-
Logger\ErrorReport_legacy.py,Not selected,new,No,-
product_specific\gnr\RegFiles\s2tregdata.json,Not selected,identical,No,-
product_specific\gnr\ConfigFiles\GNRMasksConfig.json,Not selected,identical,No,-
Tools\utils.py,Not selected,identical,No,-
Fuse\vp2intersect_enable.cfg,Not selected,identical,No,-
Tools\registerdump.py,Not selected,identical,No,-
product_specific\gnr\registers.py,Not selected,identical,No,-
product_specific\gnr\ConfigFiles\GNRMasksDebug.json,Not selected,identical,No,-
UI\System2TesterUI.py,Not selected,identical,No,-
product_specific\gnr\strategy.py,Not selected,identical,No,-
Fuse\disable_acode.cfg,Not selected,identical,No,-
