Deployment Report
Timestamp,20260215_135944
Product,DMR
Source Type,BASELINE_DMR
Deployment Type,DebugFramework
Target,Q:\Gaespino\scripts\s2t\Deploys\DMR\prod\DebugFramework
Total Files Scanned,106
Product Filtered,105
Deployed Successfully,1
Errors,0

DEPLOYED FILES
Source File,Target File,Renamed,Old Name,New Name,Status,Similarity,Import Replacements,Filename Import Updates,Import Change Lines,Rename Change Lines
UI\ControlPanel.py,UI\ControlPanel.py,No,ControlPanel.py,ControlPanel.py,minimal_changes,100.0%,-,-,-,-

DETAILED LINE CHANGES
File,Line,Change Type,Old Content,New Content

SKIPPED FILES
File,Reason,Status,Renamed,New Name
Storage_Handler\DBClient.py,Not selected,identical,No,-
PPV\utils\aqua_report.py,Not selected,identical,No,-
MASKEDITOR_DMR_MIGRATION.md,Not selected,new,No,-
PPV\gui\ProductSelector.py,Not selected,identical,No,-
UI\ProcessHandler\ProcessExecutor.py,Not selected,identical,No,-
TTL\TTL_DragonSlice\SliceContent.ttl,Not selected,identical,No,-
PPV\parsers\MCChecker\DMR\##Name##_##w##_##LABEL##_PPV_Unit_Overview.xlsx,Not selected,identical,No,-
Automation_Flow\AutomationTracker.py,Not selected,identical,No,-
PPV\utils\DeveloperEnvironment.py,Not selected,identical,No,-
TTL\TTL_DragonMesh\MeshContent.ttl,Not selected,identical,No,-
PPV\utils\PPVReportMerger.py,Not selected,identical,No,-
Automation_Flow\AutomationFlows.py,Not selected,identical,No,-
PPV\gui\PPVTools.py,Not selected,identical,No,-
PPV\requirements.txt,Not selected,new,No,-
PPV\Decoder\DMR\mse_params.json,Not selected,identical,No,-
SystemDebug.py,Not selected,identical,No,-
PPV\Decoder\DMR\mc_subch_params.json,Not selected,identical,No,-
ExecutionHandler\utils\ReportGenerator.py,Not selected,identical,No,-
FileHandler.py,Not selected,identical,No,-
PPV\Decoder\decoder.py,Not selected,identical,No,-
UI\AutomationPanel.py,Not selected,identical,No,-
TTL\TTL_DragonSlice\Commands.ttl,Not selected,identical,No,-
UI\Serial.py,Not selected,identical,No,-
Storage_Handler\MongoDBCredentials.py,Not selected,identical,No,-
ExecutionHandler\utils\ThreadsHandler.py,Not selected,identical,No,-
EFI\Filecopy.py,Not selected,identical,No,-
MaskEditor.py,Not selected,identical,No,-
PPV\configs\DMRControlPanelConfig.json,Not selected,identical,No,-
PPV\utils\folder_list.py,Not selected,identical,No,-
UI\StatusPanel.py,Not selected,identical,No,-
PPV\configs\README.md,Not selected,identical,No,-
UI\Sweep.py,Not selected,identical,No,-
PPV\utils\ExcelReportBuilder.py,Not selected,identical,No,-
PPV\Decoder\DMR\ubr_params.json,Not selected,identical,No,-
TTL\TTL_Linux\Commands.ttl,Not selected,identical,No,-
PPV\Decoder\DMR\cha_params.json,Not selected,identical,No,-
ExecutionHandler\utils\misc_utils.py,Not selected,identical,No,-
PPV\parsers\OverviewAnalyzer.py,Not selected,identical,No,-
