Deployment Report
Timestamp,20260216_151356
Product,GNR
Source Type,BASELINE
Deployment Type,S2T
Target,C:\pythonsv\graniterapids\users\THR\PythonScripts\thr\S2T
Total Files Scanned,42
Product Filtered,39
Deployed Successfully,3
Errors,0

DEPLOYED FILES
Source File,Target File,Renamed,Old Name,New Name,Status,Similarity,Import Replacements,Filename Import Updates,Import Change Lines,Rename Change Lines
managers\frequency_manager.py,managers\frequency_manager.py,No,frequency_manager.py,frequency_manager.py,minor_changes,82.6%,-,-,-,-
managers\voltage_manager.py,managers\voltage_manager.py,No,voltage_manager.py,voltage_manager.py,minor_changes,86.9%,-,-,-,-
CoreManipulation.py,GNRCoreManipulation.py,Yes,CoreManipulation.py,GNRCoreManipulation.py,minimal_changes,100.0%,import dpmChecks as dpm → import dpmChecksGNR as dpm,import dpmChecks → import dpmChecksGNR,59,59

DETAILED LINE CHANGES
File,Line,Change Type,Old Content,New Content
CoreManipulation.py,59,Import Replacement,import dpmChecks as dpm,import dpmChecksGNR as dpm
CoreManipulation.py,59,Filename Import Update,import dpmChecksGNR as dpm,import dpmChecksGNRGNR as dpm

SKIPPED FILES
File,Reason,Status,Renamed,New Name
Tools\utils.py,Not selected,identical,No,-
Logger\ErrorReportClass.py,Not selected,identical,No,-
product_specific\gnr\ConfigFiles\GNRBurnInFuses.json,Not selected,identical,No,-
product_specific\gnr\RegFiles\s2tmeshdata.json,Not selected,identical,No,-
DffDataCollector.py,Not selected,identical,Yes,GNRDffDataCollector.py
UI\DffDataUI.py,Not selected,identical,No,-
product_specific\gnr\functions.py,Not selected,identical,No,-
Fuse\disable_amx.cfg,Not selected,identical,No,-
Fuse\pm_enable_no_vf.cfg,Not selected,identical,No,-
EFI Tools\bkc_gnr_revisions.ini,Not selected,identical,No,-
product_specific\gnr\RegFiles\s2tregdata.json,Not selected,identical,No,-
managers\product_strategy.py,Not selected,identical,No,-
Tools\portid2ip.py,Not selected,identical,No,-
GetTesterCurves.py,Not selected,identical,Yes,GNRGetTesterCurves.py
product_specific\gnr\ConfigFiles\GNRMasksDebug.json,Not selected,identical,No,-
UI\System2TesterUI.py,Not selected,identical,No,-
UI\System2TesterUI_Modern.py,Not selected,new,No,-
product_specific\gnr\LoggerFiles\TileView_Template.xlsx,Not selected,identical,No,-
SetTesterRegs.py,Not selected,identical,Yes,GNRSetTesterRegs.py
product_specific\gnr\registers.py,Not selected,identical,No,-
product_specific\gnr\ConfigFiles\GNRMasksConfig.json,Not selected,identical,No,-
Tools\requests_unit_info.py,Not selected,identical,No,-
product_specific\gnr\strategy.py,Not selected,identical,No,-
product_specific\gnr\fusefilegen.py,Not selected,identical,No,-
Fuse\disable_acode.cfg,Not selected,identical,No,-
Logger\ErrorReport.py,Not selected,identical,No,-
dpmChecks.py,Not selected,identical,Yes,dpmChecksGNR.py
ConfigsLoader.py,Not selected,identical,No,-
product_specific\gnr\mca_banks.py,Not selected,identical,No,-
product_specific\gnr\ConfigFiles\GNRFuseFileConfigs.json,Not selected,identical,No,-
product_specific\gnr\configs.py,Not selected,identical,No,-
Logger\ErrorReport_original_backup.py,Not selected,new,No,-
Tools\registerdump.py,Not selected,identical,No,-
Fuse\pm_enable_no_vf.cfg.txt,Not selected,identical,No,-
UI\ExperimentsForm.py,Not selected,new,No,-
Logger\ErrorReport_legacy.py,Not selected,new,No,-
Fuse\vp2intersect_enable.cfg,Not selected,identical,No,-
Fuse\disable_HT.cfg,Not selected,identical,No,-
Logger\logger.py,Not selected,identical,No,-
