Deployment Report
Timestamp,20260216_151910
Product,CWF
Source Type,BASELINE
Deployment Type,S2T
Target,C:\pythonsv\clearwaterforest\users\THR\PythonScripts\thr\S2T
Total Files Scanned,46
Product Filtered,40
Deployed Successfully,6
Errors,0

DEPLOYED FILES
Source File,Target File,Renamed,Old Name,New Name,Status,Similarity,Import Replacements,Filename Import Updates,Import Change Lines,Rename Change Lines
SetTesterRegs.py,CWFSetTesterRegs.py,Yes,SetTesterRegs.py,CWFSetTesterRegs.py,minimal_changes,99.5%,-,-,-,-
Tools\registerdump.py,Tools\registerdump.py,No,registerdump.py,registerdump.py,new,0.0%,-,-,-,-
managers\frequency_manager.py,managers\frequency_manager.py,No,frequency_manager.py,frequency_manager.py,minor_changes,80.6%,-,-,-,-
managers\voltage_manager.py,managers\voltage_manager.py,No,voltage_manager.py,voltage_manager.py,minor_changes,86.9%,-,-,-,-
CoreManipulation.py,CWFCoreManipulation.py,Yes,CoreManipulation.py,CWFCoreManipulation.py,minimal_changes,100.0%,import dpmChecks → import dpmChecksCWF,import dpmChecks → import dpmChecksCWF,59,59
dpmChecks.py,dpmChecksCWF.py,Yes,dpmChecks.py,dpmChecksCWF.py,minimal_changes,99.7%,import CoreManipulation → import CWFCoreManipulation,-,96,-

DETAILED LINE CHANGES
File,Line,Change Type,Old Content,New Content
CoreManipulation.py,59,Import Replacement,import dpmChecks as dpm,import dpmChecksCWF as dpm
CoreManipulation.py,59,Filename Import Update,import dpmChecksCWF as dpm,import dpmChecksCWFCWF as dpm
dpmChecks.py,96,Import Replacement,import CoreManipulation as gcm,import CWFCoreManipulation as gcm

SKIPPED FILES
File,Reason,Status,Renamed,New Name
Tools\utils.py,Not selected,identical,No,-
Logger\ErrorReportClass.py,Not selected,identical,No,-
product_specific\cwf\RegFiles\s2tmeshdata.json,Not selected,identical,No,-
product_specific\cwf\strategy.py,Not selected,identical,No,-
product_specific\cwf\RegFiles\crdict_raw.json,Not selected,identical,No,-
product_specific\cwf\LoggerFiles\TileView_Template.xlsx,Not selected,identical,No,-
product_specific\cwf\RegFiles\crdict_output.xlsx,Not selected,identical,No,-
product_specific\cwf\RegFiles\s2tregdata_output.xlsx,Not selected,identical,No,-
DffDataCollector.py,Not selected,identical,Yes,CWFDffDataCollector.py
UI\DffDataUI.py,Not selected,identical,No,-
Fuse\disable_amx.cfg,Not selected,identical,No,-
product_specific\cwf\mca_banks.py,Not selected,identical,No,-
product_specific\cwf\RegFiles\crdict.json,Not selected,identical,No,-
Fuse\pm_enable_no_vf.cfg,Not selected,identical,No,-
product_specific\cwf\ConfigFiles\CWFMasksConfig.json,Not selected,identical,No,-
EFI Tools\bkc_gnr_revisions.ini,Not selected,identical,No,-
product_specific\cwf\functions.py,Not selected,identical,No,-
managers\product_strategy.py,Not selected,identical,No,-
Tools\portid2ip.py,Not selected,identical,No,-
GetTesterCurves.py,Not selected,identical,Yes,CWFGetTesterCurves.py
product_specific\cwf\ConfigFiles\CWFBurnInFuses.json,Not selected,identical,No,-
UI\System2TesterUI.py,Not selected,identical,No,-
product_specific\cwf\registers.py,Not selected,identical,No,-
UI\System2TesterUI_Modern.py,Not selected,new,No,-
product_specific\cwf\configs.py,Not selected,identical,No,-
Tools\requests_unit_info.py,Not selected,identical,No,-
product_specific\cwf\fusefilegen.py,Not selected,identical,No,-
Fuse\disable_acode.cfg,Not selected,identical,No,-
product_specific\cwf\RegFiles\s2tregdata.json,Not selected,identical,No,-
Logger\ErrorReport.py,Not selected,identical,No,-
product_specific\cwf\ConfigFiles\CWFFuseFileConfigs.json,Not selected,identical,No,-
ConfigsLoader.py,Not selected,identical,No,-
Logger\ErrorReport_original_backup.py,Not selected,new,No,-
Fuse\pm_enable_no_vf.cfg.txt,Not selected,identical,No,-
product_specific\cwf\ConfigFiles\CWFMasksDebug.json,Not selected,identical,No,-
UI\ExperimentsForm.py,Not selected,new,No,-
Logger\ErrorReport_legacy.py,Not selected,new,No,-
Fuse\vp2intersect_enable.cfg,Not selected,identical,No,-
Fuse\disable_HT.cfg,Not selected,identical,No,-
Logger\logger.py,Not selected,identical,No,-
