old_import,new_import,description,enabled
users.gaespino.dev.DebugFramework.SystemDebug,users.gaespino.DebugFramework.CWFSystemDebug,Path replacement for product variant,yes
users.gaespino.dev.DebugFramework.MaskEditor,users.gaespino.DebugFramework.CWFMaskEditor,Path replacement for product variant,yes
users.gaespino.dev.DebugFramework.,users.gaespino.DebugFramework.,Path replacement for product variant,yes
users.gaespino.dev.S2T.CoreManipulation,users.THR.PythonScripts.thr.S2T.CWFCoreManipulation,Path replacement for product variant,yes
users.gaespino.dev.S2T.dpmChecks,users.THR.PythonScripts.thr.S2T.dpmChecksCWF,Path replacement for product variant,yes
users.gaespino.dev.S2T.DffDataCollector,users.THR.PythonScripts.thr.S2T.CWFDffDataCollector,Path replacement for product variant,yes
users.gaespino.dev.S2T.GetTesterCurves,users.THR.PythonScripts.thr.S2T.CWFGetTesterCurves,Path replacement for product variant,yes
users.gaespino.dev.S2T.SetTesterRegs,users.THR.PythonScripts.thr.S2T.CWFSetTesterRegs,Path replacement for product variant,yes
users.gaespino.dev.S2T.,users.THR.PythonScripts.thr.S2T.,Path replacement for product variant,yes
import CoreManipulation,import CWFCoreManipulation,Import Replacement ,yes
import dpmChecks,import dpmChecksCWF,Import Replacement ,yes
import DebugFramework.MaskEditor,import DebugFramework.CWFMaskEditor,Import Replacement ,yes
