old_import,new_import,description,enabled
users.gaespino.dev.DebugFramework.SystemDebug,users.THR.dmr_debug_utilities.DebugFramework.SystemDebug,Path replacement for product variant,yes
users.gaespino.dev.DebugFramework.MaskEditor,users.THR.dmr_debug_utilities.DebugFramework.MaskEditor,Path replacement for product variant,yes
users.gaespino.dev.DebugFramework.,users.THR.dmr_debug_utilities.DebugFramework.,Path replacement for product variant,yes
users.gaespino.dev.S2T.CoreManipulation,users.THR.dmr_debug_utilities.S2T.CoreManipulation,Path replacement for product variant,yes
users.gaespino.dev.S2T.dpmChecks,users.THR.dmr_debug_utilities.S2T.dpmChecks,Path replacement for product variant,yes
users.gaespino.dev.S2T.DffDataCollector,users.THR.dmr_debug_utilities.S2T.DffDataCollector,Path replacement for product variant,yes
users.gaespino.dev.S2T.GetTesterCurves,users.THR.dmr_debug_utilities.S2T.GetTesterCurves,Path replacement for product variant,yes
users.gaespino.dev.S2T.SetTesterRegs,users.THR.dmr_debug_utilities.S2T.SetTesterRegs,Path replacement for product variant,yes
users.gaespino.dev.S2T.,users.THR.dmr_debug_utilities.S2T.,Path replacement for product variant,yes
import CoreManipulation,import CoreManipulation,Import Replacement ,yes
import dpmChecks,import dpmChecks,Import Replacement ,yes
import DebugFramework.MaskEditor,import DebugFramework.MaskEditor,Import Replacement ,yes
users.gaespino.DebugFramework.,users.THR.dmr_debug_utilities.DebugFramework.,Path replacement for product variant,yes
