DIE,CORE,Row,Col
COMPUTE0,0,1,0
COMPUTE0,1,2,0
COMPUTE0,2,1,1
COMPUTE0,3,2,1
COMPUTE0,4,3,1
COMPUTE0,5,4,1
COMPUTE0,6,5,1
COMPUTE0,7,6,1
COMPUTE0,8,7,1
COMPUTE0,9,1,1
COMPUTE0,10,2,2
COMPUTE0,11,3,2
COMPUTE0,12,4,2
COMPUTE0,13,5,2
COMPUTE0,14,6,2
COMPUTE0,15,7,2
COMPUTE0,16,1,2
COMPUTE0,17,2,3
COMPUTE0,18,3,3
COMPUTE0,19,4,3
COMPUTE0,20,5,3
COMPUTE0,21,6,3
COMPUTE0,22,7,3
COMPUTE0,23,1,3
COMPUTE0,24,2,4
COMPUTE0,25,3,4
COMPUTE0,26,4,4
COMPUTE0,27,5,4
COMPUTE0,28,6,4
COMPUTE0,29,7,4
COMPUTE0,30,1,4
COMPUTE0,31,2,5
COMPUTE0,32,3,5
COMPUTE0,33,4,5
COMPUTE0,34,5,5
COMPUTE0,35,6,5
COMPUTE0,36,7,5
COMPUTE0,37,1,5
COMPUTE0,38,2,6
COMPUTE0,39,3,6
COMPUTE0,40,4,6
COMPUTE0,41,5,6
COMPUTE0,42,6,6
COMPUTE0,43,7,6
COMPUTE0,44,1,6
COMPUTE0,45,2,7
COMPUTE0,46,3,7
COMPUTE0,47,4,7
COMPUTE0,48,5,7
COMPUTE0,49,6,7
COMPUTE0,50,7,7
COMPUTE0,51,1,7
COMPUTE0,52,2,8
COMPUTE0,53,3,8
COMPUTE0,54,4,8
COMPUTE0,55,5,8
COMPUTE0,56,6,8
COMPUTE0,57,7,8
COMPUTE0,58,1,9
COMPUTE0,59,2,9
COMPUTE1,60,1,0
COMPUTE1,61,2,0
COMPUTE1,62,1,1
COMPUTE1,63,2,1
COMPUTE1,64,3,1
COMPUTE1,65,4,1
COMPUTE1,66,5,1
COMPUTE1,67,6,1
COMPUTE1,68,7,1
COMPUTE1,69,1,1
COMPUTE1,70,2,2
COMPUTE1,71,3,2
COMPUTE1,72,4,2
COMPUTE1,73,5,2
COMPUTE1,74,6,2
COMPUTE1,75,7,2
COMPUTE1,76,1,2
COMPUTE1,77,2,3
COMPUTE1,78,3,3
COMPUTE1,79,4,3
COMPUTE1,80,5,3
COMPUTE1,81,6,3
COMPUTE1,82,7,3
COMPUTE1,83,1,3
COMPUTE1,84,2,4
COMPUTE1,85,3,4
COMPUTE1,86,4,4
COMPUTE1,87,5,4
COMPUTE1,88,6,4
COMPUTE1,89,7,4
COMPUTE1,90,1,4
COMPUTE1,91,2,5
COMPUTE1,92,3,5
COMPUTE1,93,4,5
COMPUTE1,94,5,5
COMPUTE1,95,6,5
COMPUTE1,96,7,5
COMPUTE1,97,1,5
COMPUTE1,98,2,6
COMPUTE1,99,3,6
COMPUTE1,100,4,6
COMPUTE1,101,5,6
COMPUTE1,102,6,6
COMPUTE1,103,7,6
COMPUTE1,104,1,6
COMPUTE1,105,2,7
COMPUTE1,106,3,7
COMPUTE1,107,4,7
COMPUTE1,108,5,7
COMPUTE1,109,6,7
COMPUTE1,110,7,7
COMPUTE1,111,1,7
COMPUTE1,112,2,8
COMPUTE1,113,3,8
COMPUTE1,114,4,8
COMPUTE1,115,5,8
COMPUTE1,116,6,8
COMPUTE1,117,7,8
COMPUTE1,118,1,9
COMPUTE1,119,2,9
COMPUTE2,120,1,0
COMPUTE2,121,2,0
COMPUTE2,122,1,1
COMPUTE2,123,2,1
COMPUTE2,124,3,1
COMPUTE2,125,4,1
COMPUTE2,126,5,1
COMPUTE2,127,6,1
COMPUTE2,128,7,1
COMPUTE2,129,1,1
COMPUTE2,130,2,2
COMPUTE2,131,3,2
COMPUTE2,132,4,2
COMPUTE2,133,5,2
COMPUTE2,134,6,2
COMPUTE2,135,7,2
COMPUTE2,136,1,2
COMPUTE2,137,2,3
COMPUTE2,138,3,3
COMPUTE2,139,4,3
COMPUTE2,140,5,3
COMPUTE2,141,6,3
COMPUTE2,142,7,3
COMPUTE2,143,1,3
COMPUTE2,144,2,4
COMPUTE2,145,3,4
COMPUTE2,146,4,4
COMPUTE2,147,5,4
COMPUTE2,148,6,4
COMPUTE2,149,7,4
COMPUTE2,150,1,4
COMPUTE2,151,2,5
COMPUTE2,152,3,5
COMPUTE2,153,4,5
COMPUTE2,154,5,5
COMPUTE2,155,6,5
COMPUTE2,156,7,5
COMPUTE2,157,1,5
COMPUTE2,158,2,6
COMPUTE2,159,3,6
COMPUTE2,160,4,6
COMPUTE2,161,5,6
COMPUTE2,162,6,6
COMPUTE2,163,7,6
COMPUTE2,164,1,6
COMPUTE2,165,2,7
COMPUTE2,166,3,7
COMPUTE2,167,4,7
COMPUTE2,168,5,7
COMPUTE2,169,6,7
COMPUTE2,170,7,7
COMPUTE2,171,1,7
COMPUTE2,172,2,8
COMPUTE2,173,3,8
COMPUTE2,174,4,8
COMPUTE2,175,5,8
COMPUTE2,176,6,8
COMPUTE2,177,7,8
COMPUTE2,178,1,9
COMPUTE2,179,2,9
