Position,AMX@F4,SSE@F4,AVX2@F4,AVX3@F4
0,0.75,0.75,0.75,0.75
1,0.75,0.74,0.74,0.75
2,0.75,0.75,0.75,0.75
3,0.75,0.75,0.75,0.75
4,0.75,0.75,0.75,0.75
5,0.76,0.76,0.76,0.76
6,0.88,0.82,0.88,0.88
7,0.76,0.76,0.76,0.76
8,0.78,0.78,0.78,0.78
9,0.77,0.77,0.77,0.77
10,0.77,0.77,0.77,0.77
11,-9.999,-9.999,-9.999,-9.999
12,0.77,0.77,0.77,0.77
13,0.86,0.86,0.86,0.86
14,0.87,0.87,0.87,0.87
15,0.78,0.78,0.78,0.78
16,0.76,0.76,0.76,0.76
17,0.75,0.75,0.75,0.75
18,0.81,0.81,0.81,0.81
19,0.75,0.75,0.75,0.75
20,0.86,0.86,0.86,0.86
21,0.76,0.76,0.76,0.76
22,0.77,0.76,0.76,0.77
23,0.78,0.78,0.78,0.78
24,0.79,0.79,0.79,0.79
25,0.76,0.76,0.76,0.76
26,0.75,0.75,0.75,0.75
27,-9.999,-9.999,-9.999,-9.999
28,0.77,0.77,0.77,0.77
29,0.74,0.74,0.74,0.74
30,0.74,0.74,0.74,0.74
31,-9.999,-9.999,-9.999,-9.999
32,0.77,0.77,0.77,0.77
33,0.8,0.8,0.8,0.8
34,0.74,0.74,0.74,0.74
35,-9.999,-9.999,-9.999,-9.999
36,0.74,0.74,0.74,0.74
37,0.83,0.83,0.83,0.83
38,0.77,0.77,0.77,0.77
39,0.75,0.75,0.75,0.75
40,0.8,0.8,0.8,0.8
41,0.79,0.79,0.79,0.79
42,0.79,0.79,0.79,0.79
43,0.8,0.8,0.8,0.8
44,0.79,0.79,0.79,0.79
45,0.8,0.8,0.8,0.8
46,0.8,0.8,0.8,0.8
47,0.82,0.82,0.82,0.82
48,0.75,0.75,0.75,0.75
49,-9.999,-9.999,-9.999,-9.999
50,0.76,0.76,0.76,0.76
51,-9.999,-9.999,-9.999,-9.999
52,0.82,0.82,0.82,0.82
53,0.85,0.85,0.85,0.85
54,-9.999,-9.999,-9.999,-9.999
55,0.78,0.78,0.78,0.78
56,0.75,0.75,0.75,0.75
57,0.82,0.82,0.82,0.82
58,0.81,0.81,0.81,0.81
59,-9.999,-9.999,-9.999,-9.999
60,-9.999,-9.999,-9.999,-9.999
61,0.75,0.75,0.75,0.75
62,0.77,0.77,0.77,0.77
63,0.76,0.76,0.76,0.76
64,-9.999,-9.999,-9.999,-9.999
65,0.77,0.76,0.76,0.77
66,-9.999,-9.999,-9.999,-9.999
67,0.75,0.75,0.75,0.75
68,0.77,0.77,0.77,0.77
69,0.79,0.79,0.79,0.79
70,0.76,0.76,0.76,0.76
71,0.8,0.8,0.8,0.8
72,0.77,0.77,0.77,0.77
73,0.79,0.79,0.79,0.79
74,0.77,0.77,0.77,0.77
75,0.77,0.77,0.77,0.77
76,0.8,0.8,0.8,0.8
77,0.79,0.79,0.79,0.79
78,0.74,0.74,0.74,0.74
79,0.76,0.76,0.76,0.76
80,0.78,0.78,0.78,0.78
81,0.78,0.78,0.78,0.78
82,0.78,0.78,0.78,0.78
83,0.78,0.78,0.78,0.78
84,0.79,0.79,0.79,0.79
85,0.92,0.92,0.92,0.92
86,0.86,0.86,0.86,0.86
87,0.77,0.77,0.77,0.77
88,0.74,0.74,0.74,0.74
89,0.76,0.76,0.76,0.76
90,0.74,0.74,0.74,0.74
91,0.88,0.88,0.88,0.88
92,0.75,0.74,0.74,0.75
93,0.74,0.74,0.74,0.74
94,0.76,0.76,0.76,0.76
95,0.75,0.75,0.75,0.75
96,0.78,0.78,0.78,0.78
97,0.79,0.78,0.78,0.79
98,0.78,0.78,0.78,0.78
99,0.81,0.81,0.81,0.81
100,0.92,0.92,0.92,0.92
101,0.79,0.79,0.79,0.79
102,0.8,0.8,0.8,0.8
103,0.8,0.8,0.8,0.8
104,0.77,0.77,0.77,0.77
105,0.83,0.83,0.83,0.83
106,0.81,0.81,0.81,0.81
107,0.84,0.84,0.84,0.84
108,0.78,0.78,0.78,0.78
109,-9.999,-9.999,-9.999,-9.999
110,0.77,0.77,0.77,0.77
111,0.8,0.79,0.79,0.8
112,0.79,0.79,0.79,0.79
113,-9.999,-9.999,-9.999,-9.999
114,0.74,0.74,0.74,0.74
115,0.81,0.81,0.81,0.81
116,0.9,0.9,0.9,0.9
117,0.74,0.74,0.74,0.74
118,-9.999,-9.999,-9.999,-9.999
119,-9.999,-9.999,-9.999,-9.999
120,0.74,0.74,0.74,0.74
121,-9.999,-9.999,-9.999,-9.999
122,0.74,0.74,0.74,0.74
123,0.73,0.73,0.73,0.73
124,0.74,0.74,0.74,0.74
125,0.77,0.77,0.77,0.77
126,0.73,0.73,0.73,0.73
127,0.74,0.74,0.74,0.74
